id,replies
,"🌎 Apple Music Song Chart update:
34.- Mother's Daughter by @MileyCyrus (-1) {-98 pts.} 
[41 days|peak #12]… https://t.co/KHFzS53mXH"
,.@MileyCyrus dla Magazynu ELLE! https://t.co/lDxJIhXBww
,RT MpaExtreme #LadyGaga #KCAMexico
,RT sofiame98453673 #LadyGaga #KCAMexico
,RT PendenceInde #LadyGaga #KCAMexico
,RT donnonsasac56 #LadyGaga #KCAMexico
,RT WhipAcquisition #LadyGaga #KCAMexico
,RT mitningtiostit8 #LadyGaga #KCAMexico
,RT caroylnbadawi8 #LadyGaga #KCAMexico
,RT kristinesample4 #LadyGaga #KCAMexico
,RT edgourmogui50 #LadyGaga #KCAMexico
,RT miranda65122854 #LadyGaga #KCAMexico
,"RT @hauslabs: ""I'm so grateful that makeup inspired a bravery in me I didn't know I had."" - @ladygaga https://t.co/Id4Xcq3lIx"
,RT RT MpaExtreme #LadyGaga #KCAMexico
,RT RT sofiame98453673 #LadyGaga #KCAMexico
,RT RT PendenceInde #LadyGaga #KCAMexico
,RT RT donnonsasac56 #LadyGaga #KCAMexico
,RT RT WhipAcquisition #LadyGaga #KCAMexico
,RT RT mitningtiostit8 #LadyGaga #KCAMexico
,RT RT caroylnbadawi8 #LadyGaga #KCAMexico
,RT RT kristinesample4 #LadyGaga #KCAMexico
,RT RT edgourmogui50 #LadyGaga #KCAMexico
,RT RT miranda65122854 #LadyGaga #KCAMexico
1141373467637325824,@AY_ARTPOP @ladygaga For me it's the best live performance to this song
,RT @gaganotify: .@ladygaga via Instagram. (2/2) https://t.co/JEBFiEn78y
,RT @gaganotify: .@ladygaga via Instagram. (1/2) https://t.co/lykwwbfNnJ
,@ladygaga @GagaLisa633 https://t.co/aAvymSPxTt
,RT @BarackObama: Proud to rep America’s best team! Congrats @USWNT and thanks for being such a strong inspiration for women and girls—and e…
1148950281444630528,@DemocracyFight4 @BarackObama @USWNT he bombed more brown people than Bush did and allowed the NSA to spy on Americans.
,RT @FindingAmerica2: @EtteTrump @mel_faith1 Kinda like the hateful politicians like mad @RepMaxineWaters @KamalaHarris @BarackObama . The c…
,"RT @BarackObama: The @ObamaFoundation is helping a new generation of leaders make their mark, and there’s an extraordinary group gathering…"
1148940273411661824,@BarackObama @USNavyMomPA @USWNT You’ve just gone and pissed off Donnie again!🙄🙄🙄🙄🤣🤣🤣😂😂😂😅😂
1149031826020810761,@Genuine30005 @DemocracyFight4 @BarackObama @USWNT You mean the Obama that is against gay marriage?
1148950281444630528,@DemocracyFight4 @BarackObama @USWNT https://t.co/NfBvHKH7zT
,Why you took Michelle’s jersey? https://t.co/ymieoP0ByZ
